#Sample Identifier	Patient Identifier	Purity	Ploidy	Genome Doublings	DepMap ID	Name	Site of Finding	Sample Type	Primary Tumor Site	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#A unique sample identifier.	Identifier to uniquely specify a patient.	Purity	Ploidy.	Genome Doublings	DepMap ID	Name	Site of Finding	"The type of sample (i.e., normal, primary, met, recurrence)."	Text term to describe the organ sub-division in an individual with cancer.	Site Subtype 1	Site Subtype 2	Site Subtype 3	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Annotation Source	Cell Line Source	Characteristics	Growth Medium	Supplements	Freezing Medium	Doubling Time From Vendor	Doubling Time (hrs)	Tumor Type	Type Refined	Pathologist Annotation	Mutation Rate
#STRING	STRING	NUMBER	NUMBER	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	NUMBER	STRING	STRING	STRING	NUMBER
#1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	PURITY	PLOIDY	GENOME_DOUBLINGS	DEPMAPID	NAME	SITE_OF_FINDING	SAMPLE_TYPE	PRIMARY_SITE	SITE_SUBTYPE1	SITE_SUBTYPE2	SITE_SUBTYPE3	HIST_SUBTYPE1	HIST_SUBTYPE2	HIST_SUBTYPE3	ANNOTATION_SOURCE	CELL_LINE_SOURCE	CHARACTERISTICS	GROWTH_MEDIUM	SUPPLEMENTS	FREEZING_MEDIUM	DOUBLING_TIME_FROM_VENDOR	DOUBLING_TIME	TUMOR_TYPE	TYPE_REFINED	PATHOLOGIST_ANNOTATION	MUTATION_RATE
HRT18_LARGE_INTESTINE	HRT18_LARGE_INTESTINE	0.98	2.03	0	ACH-001091	HRT-18		Primary	Large_Intestine	colon	NS	NS	adenocarcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	colorectal	colorectal	NA	NA
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000299	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AML	NA	NA
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000034	PLB-985	NA		Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	NS	NS	COSMIC	NA	NA	NA	NA	NA	NA	NA	AML	AML	NA	NA
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-001656	SKNO-1	NA		Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	NS	NS	COSMIC	NA	NA	NA	NA	NA	NA	NA	AML	AML	NA	NA
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000964	MOLT-3			Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_lymphoblastic_T_cell_leukaemia	NS	NS	COSMIC	PT-6ZZI	suspension	RPMI + 10 % FBS	NA	5% DMSO		50.9	T-cell_ALL	T-cell_ALL	Leukemia:ALL	529.6768544
HOP62_LUNG	HOP62_LUNG	NA	NA	NA	ACH-000861	HOP-62		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	Garraway Lab	Adherent	RPMI-1640+ 5% FBS	NA	5% DMSO		37.8	lung_NSC	lung_NSC	Lung:NSCLC_Others	236.5238841
EKVX_LUNG	EKVX_LUNG	NA	NA	NA	ACH-000706	EKVX		Primary	Lung	NS	NS	NS	adenocarcinoma	NS	NS	CCLE	Garraway Lab	Adherent	RPMI-1640+ 5% FBS	NA	5% DMSO		68.4	lung_NSC	lung_NSC	Lung:NSCLC_Others	169.3654686
OVCAR5_OVARY	OVCAR5_OVARY	NA	NA	NA	ACH-001151	OVCAR-5		Primary	Ovary	NS	NS	NS	NS	NS	NS	CCLE	Garraway Lab	Adherent	RPMI-1640+ 5% FBS	NA	5% DMSO		28.8	ovary	ovary	Ovary:Carcinoma	NA
UO31_KIDNEY	UO31_KIDNEY	NA	NA	NA	ACH-000428	UO-31		Primary	Kidney	NS	NS	NS	renal_cell_carcinoma	NS	NS	CCLE	Garraway Lab	Adherent	RPMI-1640+ 5% FBS	NA	5% DMSO		27.8	kidney	kidney	Kidney:Carcinoma	98.6867442
TK10_KIDNEY	TK10_KIDNEY	NA	NA	NA	ACH-001208	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	Garraway Lab	Adherent	RPMI-1640+ 5% FBS	NA	5% DMSO		38.9	NA	kidney	NA	NA
SF268_CENTRAL_NERVOUS_SYSTEM	SF268_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-000655	SF268		Primary	Central_Nervous_System	brain	NS	NS	NS	NS	NS	CCLE	Garraway Lab	Mix	RPMI-1640+ 5% FBS	NA	5% DMSO		63	glioma	glioma	CNS:Glioma_HighGrade	157.8096027
SF539_CENTRAL_NERVOUS_SYSTEM	SF539_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-000273	SF539		Primary	Central_Nervous_System	brain	NS	NS	NS	NS	NS	CCLE	Garraway Lab	Mix	RPMI-1640+ 5% FBS	NA	5% DMSO		105.3	glioma	glioma	CNS:Glioma_HighGrade	107.540583
SNB75_CENTRAL_NERVOUS_SYSTEM	SNB75_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-000504	SNB75		Primary	Central_Nervous_System	brain	NS	NS	NS	NS	NS	CCLE	Garraway Lab	Adherent	RPMI-1640+ 5% FBS	NA	5% DMSO		54	glioma	glioma	CNS:Glioma_HighGrade	106.3647836
HOP92_LUNG	HOP92_LUNG	NA	NA	NA	ACH-000825	HOP-92		Primary	Lung	NS	NS	NS	large_cell_carcinoma	NS	NS	CCLE	Garraway Lab	Mix	RPMI-1640+ 5% FBS	NA	5% DMSO		122.2	lung_NSC	lung_NSC	Lung:NSCLC_Others	198.739234
ACCS_URINARY_TRACT	ACCS_URINARY_TRACT	NA	NA	NA	ACH-001011	ACCS		Primary	Urinary_Tract	bladder	NS	NS	transitional_cell_carcinoma	NS	NS	CCLE	NA	NA	NA	NA	NA	NA	NA	urinary_tract	urinary_tract	NA	NA
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000084	MUTZ-3		Primary	Haematopoietic_And_Lymphoid_Tissue	NS	NS	NS	acute_myeloid_leukaemia	M4	NS	CCLE	DSMZ	Suspension; Extremely slow grower	MEM + 20% FBS	10ng/ml SCF	10%DMSO		NA	AML	AML	NA	83.53472646
A427_LUNG	A427_LUNG	NA	NA	NA	ACH-000757	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung_NSC	NA	NA
BT12_SOFT_TISSUE	BT12_SOFT_TISSUE	NA	NA	NA	ACH-000160	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000206	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CACO2_LARGE_INTESTINE	CACO2_LARGE_INTESTINE	NA	NA	NA	ACH-000003	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	colorectal	NA	NA
HCC2429_LUNG	HCC2429_LUNG	NA	NA	NA	ACH-000143	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCC2450_LUNG	HCC2450_LUNG	NA	NA	NA	ACH-000975	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCC461_LUNG	HCC461_LUNG	NA	NA	NA	ACH-000339	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCC515_LUNG	HCC515_LUNG	NA	NA	NA	ACH-000872	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000512	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KD_SOFT_TISSUE	KD_SOFT_TISSUE	NA	NA	NA	ACH-001099	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KPMRTRY_SOFT_TISSUE	KPMRTRY_SOFT_TISSUE	NA	NA	NA	ACH-001109	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MON_SOFT_TISSUE	MON_SOFT_TISSUE	NA	NA	NA	ACH-001128	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCIH2004RT_SOFT_TISSUE	NCIH2004RT_SOFT_TISSUE	NA	NA	NA	ACH-000533	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCIH2077_LUNG	NCIH2077_LUNG	NA	NA	NA	ACH-000010	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCIH2882_LUNG	NCIH2882_LUNG	NA	NA	NA	ACH-000700	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCIH2887_LUNG	NCIH2887_LUNG	NA	NA	NA	ACH-000251	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCIH1819_LUNG	NCIH1819_LUNG	NA	NA	NA	ACH-000033	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCIH3122_LUNG	NCIH3122_LUNG	NA	NA	NA	ACH-000337	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung_NSC	NA	NA
NHAHTDD_CENTRAL_NERVOUS_SYSTEM	NHAHTDD_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-001142	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000854	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000436	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-000057	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	multiple_myeloma	NA	NA
PC9_LUNG	PC9_LUNG	NA	NA	NA	ACH-000779	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung_NSC	NA	NA
SKNEP1_BONE	SKNEP1_BONE	NA	NA	NA	ACH-001192	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	kidney	NA	NA
SKPNDW_BONE	SKPNDW_BONE	NA	NA	NA	ACH-001193	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ewings_sarcoma	NA	NA
STM9101_SOFT_TISSUE	STM9101_SOFT_TISSUE	NA	NA	NA	ACH-001200	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIHA_CERVIX	SIHA_CERVIX	NA	NA	NA	ACH-000556	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cervix	NA	NA
TM87_SOFT_TISSUE	TM87_SOFT_TISSUE	NA	NA	NA	ACH-000172	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC709_SOFT_TISSUE	TTC709_SOFT_TISSUE	NA	NA	NA	ACH-000597	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC1240_SOFT_TISSUE	TTC1240_SOFT_TISSUE	NA	NA	NA	ACH-001210	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC549_SOFT_TISSUE	TTC549_SOFT_TISSUE	NA	NA	NA	ACH-001211	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC642_SOFT_TISSUE	TTC642_SOFT_TISSUE	NA	NA	NA	ACH-001212	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BT16_SOFT_TISSUE	BT16_SOFT_TISSUE	NA	NA	NA	ACH-001020	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CW9019_SOFT_TISSUE	CW9019_SOFT_TISSUE	NA	NA	NA	ACH-001050	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D384_CENTRAL_NERVOUS_SYSTEM	D384_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-001052	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D425_CENTRAL_NERVOUS_SYSTEM	D425_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-001053	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D458_CENTRAL_NERVOUS_SYSTEM	D458_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-001054	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D556_CENTRAL_NERVOUS_SYSTEM	D556_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-001055	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JR_SOFT_TISSUE	JR_SOFT_TISSUE	NA	NA	NA	ACH-001096	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MKL1_SKIN	MKL1_SKIN	NA	NA	NA	ACH-001122	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MKL2_SKIN	MKL2_SKIN	NA	NA	NA	ACH-001123	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PETA_SKIN	PETA_SKIN	NA	NA	NA	ACH-001170	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMSCTR_SOFT_TISSUE	SMSCTR_SOFT_TISSUE	NA	NA	NA	ACH-001196	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUMB002_CENTRAL_NERVOUS_SYSTEM	SUMB002_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	ACH-001201	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BB30HNC_UPPER_AERODIGESTIVE_TRACT	BB30HNC_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002212	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
BB49HNC_UPPER_AERODIGESTIVE_TRACT	BB49HNC_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002213	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
BICR10_UPPER_AERODIGESTIVE_TRACT	BICR10_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-001331	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
BICR78_UPPER_AERODIGESTIVE_TRACT	BICR78_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-001332	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
CA922_UPPER_AERODIGESTIVE_TRACT	CA922_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002043	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
DOK_UPPER_AERODIGESTIVE_TRACT	DOK_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002234	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
H3118_UPPER_AERODIGESTIVE_TRACT	H3118_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002239	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
HO1N1_UPPER_AERODIGESTIVE_TRACT	HO1N1_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002244	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
HO1U1_UPPER_AERODIGESTIVE_TRACT	HO1U1_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002045	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
JHU011_UPPER_AERODIGESTIVE_TRACT	JHU011_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002249	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
JHU022_UPPER_AERODIGESTIVE_TRACT	JHU022_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002250	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
KON_UPPER_AERODIGESTIVE_TRACT	KON_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-001542	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
KOSC2_UPPER_AERODIGESTIVE_TRACT	KOSC2_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002260	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
LB771HNC_UPPER_AERODIGESTIVE_TRACT	LB771HNC_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002265	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
OSC19_UPPER_AERODIGESTIVE_TRACT	OSC19_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-001625	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
OSC20_UPPER_AERODIGESTIVE_TRACT	OSC20_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-001626	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
PCI15A_UPPER_AERODIGESTIVE_TRACT	PCI15A_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002294	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
PCI30_UPPER_AERODIGESTIVE_TRACT	PCI30_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002295	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
PCI38_UPPER_AERODIGESTIVE_TRACT	PCI38_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002296	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
PCI4B_UPPER_AERODIGESTIVE_TRACT	PCI4B_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002297	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
PCI6A_UPPER_AERODIGESTIVE_TRACT	PCI6A_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002298	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
RPMI2650_UPPER_AERODIGESTIVE_TRACT	RPMI2650_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-001385	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
SAS_UPPER_AERODIGESTIVE_TRACT	SAS_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002029	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
SAT_UPPER_AERODIGESTIVE_TRACT	SAT_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-001641	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
SKN3_UPPER_AERODIGESTIVE_TRACT	SKN3_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	ACH-002305	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA
ESO26_OESOPHAGUS	ESO26_OESOPHAGUS	NA	NA	NA	ACH-001496	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
ESO51_OESOPHAGUS	ESO51_OESOPHAGUS	NA	NA	NA	ACH-001497	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
FLO1_OESOPHAGUS	FLO1_OESOPHAGUS	NA	NA	NA	ACH-001500	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
HCE4_OESOPHAGUS	HCE4_OESOPHAGUS	NA	NA	NA	ACH-002243	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
KYAE1_OESOPHAGUS	KYAE1_OESOPHAGUS	NA	NA	NA	ACH-001544	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
KYSE220_OESOPHAGUS	KYSE220_OESOPHAGUS	NA	NA	NA	ACH-002263	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
KYSE50_OESOPHAGUS	KYSE50_OESOPHAGUS	NA	NA	NA	ACH-002264	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
OACM51_OESOPHAGUS	OACM51_OESOPHAGUS	NA	NA	NA	ACH-001368	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
OACP4C_OESOPHAGUS	OACP4C_OESOPHAGUS	NA	NA	NA	ACH-002292	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
SKGT4_OESOPHAGUS	SKGT4_OESOPHAGUS	NA	NA	NA	ACH-001654	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
TE12_OESOPHAGUS	TE12_OESOPHAGUS	NA	NA	NA	ACH-002311	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	esophagus	NA	NA
CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-002218	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AML	NA	NA
CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	ACH-002222	NA	NA	Na	Na	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AML	NA	NA
